ID_SAMPLE,site_name,elevation,basin_size,site_type,entity_type,New_lat,New_lon
18015,,,0.066,"terrestrial, bog/fen/swamp",,,
18040,,,39000,,,,
18079,,,,"terrestrial, bog/fen/swamp",,,
18080,,,1.1,lake,,42.13,2.75
18089,,,0.03,lake,,,
18132,,,2.011,"terrestrial, bog/fen/swamp",,,
18133,,,2.011,"terrestrial, bog/fen/swamp",,,
18134,,,2.011,"terrestrial, bog/fen/swamp",,,
18135,,,2.011,"terrestrial, bog/fen/swamp",,,
18136,,,2.011,"terrestrial, bog/fen/swamp",,,
18137,,,2.011,"terrestrial, bog/fen/swamp",,,
18138,,,2.011,"terrestrial, bog/fen/swamp",,,
18139,,,2.011,"terrestrial, bog/fen/swamp",,,
18140,,,2.011,"terrestrial, bog/fen/swamp",,,
18141,,,2.011,"terrestrial, bog/fen/swamp",,,
18142,,,2.011,"terrestrial, bog/fen/swamp",,,
18143,,,2.011,"terrestrial, bog/fen/swamp",,,
18144,,,2.011,"terrestrial, bog/fen/swamp",,,
18182,,,0.095,,,,
18183,,,0.1,,,,
18184,,,1125,,,,
18190,,,0.02,,,,
18260,Bobrovichskoe,,9.47,,,,
18261,,,0.346,lake,lake surface sample,61.3271551,16.86313988
18262,,,0.005,,,,
18299,,,0.15,lake,core top,,
18308,,,,"terrestrial, bog/fen/swamp",,,
18315,,,0.195,lake,,61.45182557,8.842671159
18334,,,25.001,,,,
18343,,,0.785,,,,
18344,,,0.785,,,,
18345,,,0.785,,,,
18346,,,0.785,,,,
18347,,,0.785,,,,
18349,,,0.005,,,,
18350,,,0.005,,,,
18351,,,0.005,,,,
18356,,,0.003,"terrestrial, bog/fen/swamp",,,
18357,,,0.003,"terrestrial, bog/fen/swamp",,,
18362,,,0.015,,,,
18368,,,0.68,lake,,39.87132145,37.37810406
18369,,,0.01,"terrestrial, bog/fen/swamp",,,
18468,,,not applicable,,,,
18551,,,0.056,"terrestrial, bog/fen/swamp",core top,,
18552,,,0.056,"terrestrial, bog/fen/swamp",core top,,
18553,,,0.32,"terrestrial, bog/fen/swamp",,,
18554,,,0.001,"terrestrial, bog/fen/swamp",,,
18578,,,0.1,,,,
18579,,,0.019,lake,,45.36974443,2.660287812
18581,,,0.196,,,,
18594,,,0.152,lake,,,
18596,,,not applicable,,,,
18633,,,0.031,,,,
18660,,,0.84,,,,
18738,,,0.203,,,,
18745,,,0.003,,,,
18750,Dvorishchanskoe,,0.1,lake,,,
18795,,,259.984,"terrestrial, bog/fen/swamp",,,
18853,,,2.05,,,,
18856,,,0.001,lake,,,
18857,,,0.123,lake,lake surface sample,,
18858,,,0.091,lake,,,
18937,,,0.397,lake,lake surface sample,57.5219222,12.22831028
18938,,,0.031,lake,,,
18954,,,0.047,"terrestrial, bog/fen/swamp",,,
18966,,,0.002,,,,
18967,,,0.04,,,,
19125,,,0.124,lake,lake surface sample,62.40898819,16.30712049
19127,,,0.038,"terrestrial, bog/fen/swamp",,,
19131,,,0.271,lake,lake surface sample,,
19146,,,0.12,"terrestrial, bog/fen/swamp",,,
19173,,,0.013,,,,
19214,,,0.01,,,,
19219,,,0.002,"terrestrial, bog/fen/swamp",,,
19221,,,0.002,"terrestrial, bog/fen/swamp",,,
19252,,,0.005,lake,,46.1959084,7.845032294
19255,,,0.084,,,,
19262,,,0.281,,,,
19263,,,0.281,,,,
19264,,,0.281,,,,
19265,,,0.281,,,,
19266,,,0.281,,,,
19267,,,0.281,,,,
19271,,,0.281,,,,
19272,,,0.281,,,,
19273,,,0.281,,,,
19649,,,0.0135,lake,lake surface sample,,
19654,,,0.025,"terrestrial, bog/fen/swamp",,,
19657,,,2.32,lake,lake surface sample,,
19658,,,0.597,lake,lake surface sample,60.04578037,16.55989153
19659,,,0.871,lake,lake surface sample,,
19661,,,0.012,,,,
19662,,,0.212,lake,lake surface sample,61.35663442,23.29314922
19672,,,0.089,lake,lake surface sample,,
19674,,,small (0.01-1 km2),lake,lake surface sample,,
19675,,,0.194,lake,lake surface sample,,
19686,,,0.317,lake,lake surface sample,,
19687,,,0.169,lake,lake surface sample,,
19688,,,small (0.01-1 km2),lake,lake surface sample,,
19689,,,0.046,lake,,,
19691,,,0.046,lake,,,
19714,,,0.01,lake,,,
19719,,,0.085,lake,,,
19720,,,0.077,lake,,,
19721,,,0.1,,,,
19723,,,0.17,lake,,,
19724,,,0.1,,,,
19727,,,0.785,lake,,,
19729,,,0.03,lake,lake surface sample,62.4636526,27.45606712
19730,,,0.352,lake,lake surface sample,60.76809505,27.28691761
19733,,,982,,,,
19742,,,0.108,lake,lake surface sample,66.68705385,28.92135246
19746,,,0.17,lake,lake surface sample,,
19747,,,0.042,lake,lake surface sample,,
19750,,,0.214,lake,lake surface sample,61.35171318,25.08422149
19751,,,0.172,lake,lake surface sample,60.35449441,23.63033817
19752,,,0.31,lake,lake surface sample,62.94875394,30.42821253
19753,,,0.198,lake,lake surface sample,62.35095511,25.15984322
19754,,,0.636,,,,
19755,,,0.146,lake,lake surface sample,63.30959291,30.21547821
19782,,,11.995,,,,
19785,,,0.1,lake,lake surface sample,,
19786,,,0.267,lake,lake surface sample,,
19788,,,0.1,lake,lake surface sample,,
19791,,,0.141,lake,lake surface sample,57.68048689,26.40745007
19794,,,0.167,lake,lake surface sample,59.09606561,24.15509504
19807,,,0.07,lake,lake surface sample,57.88585162,25.87020794
19810,,,0.026,lake,lake surface sample,64.47096389,27.68710932
19828,,,0.432,lake,,,
19830,,,not applicable,,,,
19831,,,not applicable,,,,
19835,,,not applicable,,,,
19836,,,,terrestrial,,,
19837,,,not applicable,,,,
19838,,,0.444,lake,lake surface sample,59.58193947,25.88388892
19840,,,28,,,,
19855,,,0.413,lake,lake surface sample,,
19868,,,0.183,lake,lake surface sample,64.28870014,30.15218541
19870,,,small (0.01-1 km2),lake,,,
19873,,,0.159,,,,
19876,,,0.454,lake,lake surface sample,66.06390407,29.80906235
19892,,,0.01,"terrestrial, bog/fen/swamp",,,
19894,,,0.213,lake,lake surface sample,59.79164898,15.92063982
