entity_name,longitude,latitude,bin_centre,number_samples,tree_cover
ACEBRON2,-6.547308,37.14576,5000,3,20.2296981588947
ACEBRON2,-6.547308,37.14576,5200,1,16.8833942619656
ACEBRON2,-6.547308,37.14576,5400,2,14.4325032691023
ACH1,-5.04181,57.90956,1400,1,7.52767893648306
ACH1,-5.04181,57.90956,1600,1,5.21419426904574
ACH1,-5.04181,57.90956,6400,1,71.5078432910273
ACH1,-5.04181,57.90956,6600,1,72.1212577849092
ACH1,-5.04181,57.90956,6800,1,72.7143613715489
ACH1,-5.04181,57.90956,7400,2,60.9843413465295
ACH1,-5.04181,57.90956,7600,1,62.616876237471
ACH1,-5.04181,57.90956,7800,1,54.4334177961071
ACH1,-5.04181,57.90956,10400,1,29.9624124389671
ACH2,-5.090222,57.910944,6400,1,53.1174476809029
ACH2,-5.090222,57.910944,6600,1,32.7370638968863
ACH2,-5.090222,57.910944,6800,1,5.89747806050027
ACH2,-5.090222,57.910944,7000,2,5.4277066071157
ACH2,-5.090222,57.910944,7200,1,43.7600941829733
ACH2,-5.090222,57.910944,7400,1,3.25351339882582
ACH2,-5.090222,57.910944,7800,1,13.6083080572467
ACH2,-5.090222,57.910944,8000,1,0
ACH4,-5.041361,57.908528,6600,1,67.040637183434
ACH4,-5.041361,57.908528,6800,1,59.2897370740056
ACH4,-5.041361,57.908528,7000,2,37.5691006455541
ACH4,-5.041361,57.908528,7200,1,34.5165027882328
ACH4,-5.041361,57.908528,7400,1,37.1421502011015
ACH4,-5.041361,57.908528,7600,1,29.3860740891366
ACH4,-5.041361,57.908528,7800,1,30.543407121109
ACH4,-5.041361,57.908528,8600,1,9.35461002978627
ACH5,-5.116,57.912167,2200,2,2.10604062254686
ACH5,-5.116,57.912167,6600,2,63.8509881974475
ACH5,-5.116,57.912167,6800,1,41.5295296461648
ACH5,-5.116,57.912167,7000,1,36.5826928601836
ACH5,-5.116,57.912167,7200,1,54.8984052609174
ACH5,-5.116,57.912167,7400,1,42.3643527250366
ACH5,-5.116,57.912167,7600,1,45.1175030543373
ACH5,-5.116,57.912167,7800,2,42.7337233733822
ACH5,-5.116,57.912167,8200,2,19.4145009645046
ACH5,-5.116,57.912167,8400,1,52.2319738939204
ACH5,-5.116,57.912167,8600,2,22.920403520273
ACH5,-5.116,57.912167,8800,1,25.0024747963277
ACH5,-5.116,57.912167,9200,2,17.1302535299381
ACH5,-5.116,57.912167,9600,1,7.97310550815878
ACH5,-5.116,57.912167,9800,1,0
ACH6,-5.117194,57.911778,5200,1,74.347691290949
ACH6,-5.117194,57.911778,5400,9,45.565901026626
ACH6,-5.117194,57.911778,5600,2,40.8389045949413
ACH7,-5.031833,57.903528,3600,1,41.7487064711074
ACH7,-5.031833,57.903528,4800,1,34.6897095472114
ACH7,-5.031833,57.903528,5200,1,62.0744482780164
ACH7,-5.031833,57.903528,5600,1,15.9166500267029
ACH7,-5.031833,57.903528,5800,1,44.3945587641963
ACH7,-5.031833,57.903528,6000,1,19.0388318339365
ACH7,-5.031833,57.903528,7000,1,42.3595976294612
ACH7,-5.031833,57.903528,7800,2,8.41557479688041
ACH7,-5.031833,57.903528,9800,1,0
ACH8,-5.012667,57.903444,6600,2,39.8619790582935
ACH8,-5.012667,57.903444,6800,2,27.8359749017988
ACH8,-5.012667,57.903444,7000,2,9.00692563214166
ACH8,-5.012667,57.903444,7200,1,14.1652792985273
ACH8,-5.012667,57.903444,7400,1,40.282866293067
ACH8,-5.012667,57.903444,7600,1,44.9373995783505
ACH9,-5.06283,57.90433,200,1,0
ACH9,-5.06283,57.90433,400,1,0
ACH9,-5.06283,57.90433,4600,1,15.8838398628272
ACH9,-5.06283,57.90433,4800,2,41.5789466681846
ACH9,-5.06283,57.90433,5000,3,45.985456269487
ACH9,-5.06283,57.90433,5200,2,56.3633813960771
ACH9,-5.06283,57.90433,5400,1,60.1915547018017
ACH9,-5.06283,57.90433,5600,1,54.4973740701779
ACH9,-5.06283,57.90433,5800,1,36.7648053062214
ACH9,-5.06283,57.90433,6400,1,27.4013919323136
ACH9,-5.06283,57.90433,6600,1,51.4834546800851
ACH9,-5.06283,57.90433,6800,1,3.28496513423355
ACH9,-5.06283,57.90433,7200,1,8.15164603360938
ACH9,-5.06283,57.90433,7400,1,0
AE3,7.543333,46.645833,2600,1,78.7041931013402
AE3,7.543333,46.645833,2800,2,74.4041844015722
AE3,7.543333,46.645833,3000,4,75.0898029665588
AE3,7.543333,46.645833,3200,4,75.5936293594233
AE3,7.543333,46.645833,3400,3,76.1833975155545
AE3,7.543333,46.645833,3600,1,76.9609264008905
AE3,7.543333,46.645833,3800,1,77.7349406826003
AE3,7.543333,46.645833,4000,1,76.6305202525723
AE3,7.543333,46.645833,4200,1,78.5855288288671
AE3,7.543333,46.645833,4600,1,76.6586875280283
