taxon_name,clean_taxon_name,terrestrial_pollen_sum,ap_sp_hp,ap_needle_broad,europe,pollination
Tamarix,Tamarix,yes,AP,broad,native,biotic
Taxodium,Taxodium,yes,not_native,not_native_tree,not native to Europe,not native to Europe
Taxus,Taxus,yes,AP,needle,native,wind
Teucrium,Teucrium,yes,HP,not_native_tree,native,not_native_tree
Thalictrum,Thalictrum,yes,HP,not_native_tree,native,not_native_tree
Thymelaeaceae,Thymelaeaceae,yes,AP,broad,native,dual
Tilia,Tilia,yes,AP,broad,native,biotic
Tofieldia,Tofieldia,yes,HP,not_native_tree,native,not_native_tree
Trollius,Trollius,yes,HP,not_native_tree,native,not_native_tree
Tsuga,Tsuga,yes,not_native,not_native_tree,not native to Europe,not native to Europe
Ulmus,Ulmus,yes,AP,broad,native,wind
Ulmus/Zelkova,Ulmus/Zelkova,yes,AP,broad,native,wind
Urticaceae,Urticaceae,yes,HP,not_native_tree,native,not_native_tree
Vaccinium,Vaccinium,yes,SP,not_native_tree,native,not_native_tree
Verbenaceae,Verbenaceae,yes,AP,broad,native,dual
Adoxaceae,Viburnaceae,yes,AP,broad,native,biotic
Viburnum,Viburnum,yes,AP,broad,native,biotic
Violaceae,Violaceae,yes,HP,not_native_tree,native,not_native_tree
Viscum,Viscum,no,HP,not_native_tree,native,not_native_tree
Vitex,Vitex,yes,AP,broad,native,biotic
Ziziphus,Ziziphus,yes,SP,not_native_tree,native,not_native_tree
Zygophyllaceae,Zygophyllaceae,yes,HP,not_native_tree,native,not_native_tree
Pinus (Diploxylon),Pinus (diploxylon),yes,AP,needle,native,wind
Fontanesia,Fontanesia,yes,AP,broad,native,biotic
Cannabaceae,Cannabaceae,yes,HP,not_native_tree,native,not_native_tree
Pinus (Haploxylon),Pinus (haploxylon),yes,AP,needle,native,wind
Anacardiaceae,Anacardiaceae,yes,AP,broad,native,dual
Nyssaceae,Nyssaceae,yes,not_native,not_native_tree,not native to Europe,not native to Europe
Betula (non-Chamaebetula),Betula,yes,AP,broad,native,wind
Citrus,Citrus,yes,AP,broad,native,biotic
Liquidambar,Liquidambar,yes,not_native,not_native_tree,not native to Europe,not native to Europe
Nyssa,Nyssa,yes,not_native,not_native_tree,not native to Europe,not native to Europe
Ulmaceae,Ulmaceae,yes,AP,broad,native,wind
Dioscorea,Dioscorea,yes,SP,not_native_tree,native,not_native_tree
Casuarina,Casuarina,yes,not_native,not_native_tree,not native to Europe,not native to Europe
Sciadopityaceae,Sciadopityaceae,yes,not_native,not_native_tree,not native to Europe,not native to Europe
Engelhardia,Engelhardia,yes,not_native,not_native_tree,not native to Europe,not native to Europe
Balsaminaceae,Balsaminaceae,yes,HP,not_native_tree,native,not_native_tree
Calceolaria,Calceolaria,yes,not_native,not_native_tree,not native to Europe,not native to Europe
Davallia,Davallia,no,HP,not_native_tree,native,not_native_tree
Commelinaceae,Commelinaceae,yes,HP,not_native_tree,native,not_native_tree
Platycarya,Platycarya,yes,not_native,not_native_tree,not native to Europe,not native to Europe
Maytenus,Maytenus,yes,not_native,not_native_tree,not native to Europe,not native to Europe
Lycopodiaceae,Lycopodiaceae,no,HP,not_native_tree,native,not_native_tree
Phrymaceae,Phrymaceae,yes,not_native,not_native_tree,not native to Europe,not native to Europe
Myricaceae,Myricaceae,yes,AP,broad,native,wind
Liriodendron,Liriodendron,yes,not_native,not_native_tree,not native to Europe,not native to Europe
Linderniaceae,Linderniaceae,yes,HP,not_native_tree,native,not_native_tree
Osmanthus,Osmanthus,yes,SP,not_native_tree,native,not_native_tree
Alhagi,Alhagi,yes,SP,not_native_tree,native,not_native_tree
Juncaginaceae,Juncaginaceae,no,HP,not_native_tree,native,not_native_tree
Sequoia,Sequoia,yes,not_native,not_native_tree,not native to Europe,not native to Europe
Cupressaceae/Taxaceae,Cupressaceae/Taxaceae,yes,AP,needle,native,wind
Araliaceae,Araliaceae,yes,SP,not_native_tree,native,not_native_tree
Eriocaulaceae,Eriocaulaceae,yes,HP,not_native_tree,native,not_native_tree
Sapindaceae,Sapindaceae,yes,AP,broad,native,dual
Penthoraceae,Penthoraceae,yes,HP,not_native_tree,native,not_native_tree
Ephedraceae,Ephedraceae,yes,SP,not_native_tree,native,not_native_tree
Quercus intermediate,Quercus,yes,AP,broad,native,wind
Dennstaedtiaceae,Dennstaedtiaceae,no,HP,not_native_tree,native,not_native_tree
Viburnaceae,Viburnaceae,yes,AP,broad,native,biotic
Acoraceae,Acoraceae,yes,not_native,not_native_tree,not native to Europe,not native to Europe
Podocarpaceae,Podocarpaceae,yes,not_native,not_native_tree,not native to Europe,not native to Europe
Moraceae/Urticaceae,Moraceae/Urticaceae,yes,AP,broad,native,dual
